class,precision,recall,f1,support
airplane,0.9847870182555781,0.971,0.9778449144008057,1000
automobile,0.9801783944499505,0.989,0.98456943753111,1000
bird,0.9748743718592965,0.97,0.9724310776942355,1000
cat,0.9383838383838384,0.929,0.9336683417085426,1000
deer,0.9780439121756487,0.98,0.979020979020979,1000
dog,0.938715953307393,0.965,0.9516765285996055,1000
frog,0.986,0.986,0.986,1000
horse,0.9929221435793731,0.982,0.987430869783811,1000
ship,0.9714285714285714,0.986,0.9786600496277915,1000
truck,0.9858012170385395,0.972,0.9788519637462235,1000
