class,precision,recall,f1,support
airplane,0.9640718562874252,0.966,0.9650349650349649,1000
automobile,0.9714003944773175,0.985,0.9781529294935453,1000
bird,0.951195219123506,0.955,0.9530938123752496,1000
cat,0.9306418219461697,0.899,0.9145473041709054,1000
deer,0.9635467980295567,0.978,0.9707196029776675,1000
dog,0.9275793650793651,0.935,0.9312749003984064,1000
frog,0.9712301587301587,0.979,0.9750996015936254,1000
horse,0.9799196787148594,0.976,0.9779559118236472,1000
ship,0.967196819085487,0.973,0.9700897308075772,1000
truck,0.9765545361875637,0.958,0.9671882887430591,1000
